id_escopo_autuacao,id_uf,id_amparo_legal,id_infracao,date,quantidade_autos
3,11,3,5,2022-08-01,130
3,11,3,4,2022-08-01,146
3,12,3,4,2022-09-01,140
1,7,3,6,2022-10-01,1
2,5,1,1,2022-10-01,1018
3,8,3,3,2022-10-01,21
3,11,3,3,2022-10-01,79
3,9,3,3,2022-11-01,630
3,11,3,3,2022-11-01,88
2,4,1,1,2022-12-01,429
3,7,3,3,2022-12-01,54
3,8,3,5,2022-12-01,360
3,11,3,4,2022-12-01,174
3,12,3,4,2022-12-01,18
1,11,4,6,2022-02-01,1
1,9,4,6,2022-02-01,5
3,12,4,5,2022-02-01,189
3,9,4,4,2022-03-01,502
3,12,4,4,2022-03-01,90
2,12,1,1,2022-04-01,1626
1,9,4,6,2022-05-01,4
2,12,1,1,2022-05-01,1206
3,7,4,5,2022-05-01,434
3,10,4,5,2022-05-01,349
3,12,4,3,2022-05-01,137
1,12,4,6,2022-06-01,2
3,7,4,5,2022-06-01,792
3,10,4,5,2022-06-01,463
3,9,4,5,2022-07-01,959
2,12,1,1,2022-08-01,1309
3,5,3,5,2022-08-01,813
3,10,3,4,2022-08-01,58
3,9,3,4,2022-09-01,190
3,10,3,5,2022-09-01,308
3,9,3,5,2022-10-01,778
1,5,3,7,2022-11-01,1
2,9,1,1,2022-11-01,2064
3,7,3,3,2022-11-01,107
3,11,3,4,2022-11-01,99
1,5,3,8,2022-12-01,3
2,7,1,1,2022-12-01,238
3,3,3,3,2022-12-01,153
3,8,3,4,2022-12-01,224
3,12,4,5,2022-01-01,136
1,12,4,8,2022-02-01,2
3,3,4,3,2022-02-01,60
3,4,4,5,2022-02-01,434
1,9,4,6,2022-03-01,3
2,9,1,1,2022-03-01,2435
1,5,4,8,2022-04-01,1
1,9,4,6,2022-04-01,10
2,5,1,1,2022-04-01,300
3,3,4,4,2022-04-01,78
3,3,4,3,2022-04-01,92
3,4,4,3,2022-04-01,92
3,10,4,4,2022-04-01,101
3,4,4,5,2022-05-01,356
3,5,4,4,2022-05-01,270
3,10,4,4,2022-06-01,97
3,7,2,4,2022-08-01,1
3,9,3,4,2022-08-01,515
3,10,3,3,2022-08-01,92
1,3,4,8,2022-02-01,2
2,7,1,1,2022-02-01,1600
3,7,4,5,2022-02-01,415
3,9,4,5,2022-02-01,787
3,11,4,5,2022-02-01,617
1,5,4,7,2022-03-01,2
1,9,4,8,2022-03-01,4
2,3,1,1,2022-03-01,414
2,12,1,1,2022-03-01,1436
3,3,4,4,2022-03-01,13
3,7,4,5,2022-03-01,442
3,9,4,3,2022-03-01,840
2,7,1,1,2022-05-01,2168
3,5,4,3,2022-05-01,296
3,11,4,4,2022-05-01,237
3,7,4,4,2022-06-01,144
3,11,4,5,2022-06-01,382
1,7,4,6,2022-07-01,1
